iter	Passed	Remaining
354	71481	1942070
355	71717	1942830
356	71939	1943163
357	72117	1942339
358	72312	1941954
359	72476	1940761
360	72631	1939317
361	72799	1938229
362	72986	1937660
363	73175	1937146
364	73327	1935656
365	73447	1933322
366	73627	1932582
367	73764	1930693
368	73978	1930850
369	74229	1931976
370	74450	1932308
371	74634	1931679
372	74827	1931283
373	74995	1930229
374	75263	1931761
375	75439	1930919
376	75623	1930305
377	75802	1929559
378	75983	1928855
379	76193	1928899
380	76362	1927898
381	76656	1930059
382	76875	1930308
383	77027	1928908
384	77214	1928352
385	77322	1925845
386	77498	1925053
387	77700	1924891
388	77905	1924805
389	78127	1925151
390	78332	1925053
391	78528	1924755
392	78717	1924279
393	78893	1923471
394	79071	1922743
395	79209	1921023
396	79379	1920093
397	79612	1920710
398	79783	1919811
399	79946	1918721
400	80122	1917945
401	80280	1916742
402	80416	1915025
403	80600	1914469
404	80805	1914381
405	80953	1912964
406	81135	1912367
407	81402	1913759
408	81633	1914298
409	81856	1914648
410	82001	1913178
411	82181	1912510
412	82410	1913002
413	82611	1912843
414	82796	1912297
415	83044	1913227
416	83240	1912940
417	83451	1912993
418	83663	1913086
419	83843	1912432
420	84001	1911294
421	84266	1912580
422	84471	1912485
423	84673	1912331
424	84801	1910538
425	84990	1910086
426	85205	1910245
427	85429	1910586
428	85671	1911340
429	85842	1910487
430	86100	1911593
431	86239	1910050
432	86380	1908541
433	86569	1908120
434	86767	1907885
435	86977	1907923
436	87154	1907233
437	87368	1907339
438	87540	1906539
439	87676	1904970
440	87857	1904382
441	88082	1904735
442	88267	1904237
443	88412	1902861
444	88581	1902021
445	88731	1900772
446	88889	1899693
447	89104	1899826
448	89251	1898531
449	89439	1898114
450	89653	1898220
451	89806	1897057
452	90073	1898306
453	90295	1898597
454	90451	1897503
455	90677	1897856
456	90868	1897492
457	91059	1897135
458	91237	1896510
459	91484	1897319
460	91701	1897487
461	91918	1897665
462	92139	1897907
463	92313	1897200
464	92502	1896796
465	92670	1895974
466	92856	1895504
467	93082	1895855
468	93243	1894897
469	93419	1894219
470	93570	1893065
471	93737	1892221
472	93943	1892179
473	94167	1892483
474	94371	1892403
475	94538	1891564
476	94710	1890830
477	94850	1889460
478	94989	1888084
479	95201	1888163
480	95331	1886614
481	95479	1885426
482	95622	1884139
483	95759	1882749
484	95962	1882645
485	96138	1882012
486	96266	1880463
487	96410	1879221
488	96592	1878710
489	96721	1877190
490	96934	1877299
491	97156	1877575
492	97327	1876853
493	97542	1876998
494	97691	1875881
495	97828	1874528
496	98009	1874021
497	98187	1873458
498	98366	1872907
499	98556	1872579
500	98708	1871517
501	98916	1871523
502	99107	1871222
503	99272	1870427
504	99440	1869680
505	99635	1869452
506	99790	1868461
507	100012	1868739
508	100215	1868652
509	100376	1867781
510	100557	1867294
511	100720	1866475
512	100865	1865330
513	101088	1865607
514	101256	1864892
515	101387	1863479
516	101539	1862470
517	101694	1861522
518	101943	1862291
519	102213	1863439
520	102391	1862892
521	102558	1862164
522	102729	1861509
523	102920	1861219
524	103134	1861333
525	103362	1861704
526	103608	1862388
527	103895	1863827
528	104100	1863779
529	104384	1865128
530	104546	1864312
531	104732	1863930
532	104868	1862652
533	105084	1862798
534	105255	1862138
535	105405	1861119
536	105647	1861721
537	105887	1862287
538	106243	1864884
539	106476	1865304
540	106662	1864925
541	106830	1864213
542	107194	1866921
543	107362	1866214
544	107564	1866096
545	107886	1868050
546	108188	1869665
547	108387	1869484
548	108552	1868717
549	108707	1867800
550	108962	1868577
551	109311	1870962
552	109517	1870910
553	109775	1871735
554	110096	1873628
555	110325	1873944
556	110554	1874272
557	110794	1874765
558	111091	1876240
559	111261	1875554
560	111423	1874727
561	111594	1874071
562	111794	1873904
563	112043	1874543
564	112325	1875731
565	112505	1875229
566	112668	1874425
567	112770	1872632
568	112911	1871475
569	113183	1872498
570	113373	1872147
571	113691	1873918
572	113982	1875238
573	114265	1876429
574	114402	1875198
575	114611	1875172
576	114813	1875028
577	115077	1875878
578	115227	1874886
579	115415	1874513
580	115666	1875157
581	115803	1873954
582	116050	1874522
583	116234	1874074
584	116415	1873595
585	116675	1874376
586	116830	1873465
587	117002	1872834
588	117204	1872678
589	117337	1871427
590	117527	1871092
591	117693	1870373
592	117839	1869332
593	118042	1869203
594	118295	1869862
595	118441	1868829
596	118674	1869175
597	118869	1868907
598	119082	1868946
599	119371	1870159
600	119628	1870863
601	119930	1872272
602	120135	1872163
603	120319	1871718
604	120486	1871018
605	120756	1871922
606	121054	1873254
607	121206	1872318
608	121356	1871364
609	121603	1871891
610	121822	1871999
611	122069	1872536
612	122230	1871744
613	122745	1876367
614	123088	1878346
615	123328	1878754
616	123558	1879008
617	123799	1879425
618	124087	1880549
619	124324	1880914
620	124523	1880687
621	124667	1879626
622	124841	1879029
623	125007	1878321
624	125218	1878271
625	125421	1878109
626	125549	1876827
627	125677	1875558
628	125807	1874317
629	126079	1875175
630	126321	1875598
631	126545	1875757
632	126730	1875333
633	126930	1875123
634	127164	1875423
635	127434	1876248
636	127598	1875514
637	127836	1875869
638	128124	1876960
639	128377	1877516
640	128556	1877007
641	128748	1876680
642	128923	1876107
643	129158	1876401
644	129355	1876155
645	129522	1875472
646	129816	1876624
647	130038	1876727
648	130248	1876668
649	130481	1876927
650	130616	1875788
651	130814	1875547
652	131004	1875188
653	131182	1874664
654	131398	1874690
655	131622	1874822
656	131861	1875168
657	132059	1874925
658	132310	1875432
659	132571	1876084
660	132756	1875660
661	133096	1877421
662	133317	1877508
663	133505	1877119
664	133652	1876155
665	133813	1875405
666	134141	1876976
667	134362	1877052
668	134606	1877447
669	134865	1878050
670	135042	1877511
671	135192	1876605
672	135363	1875978
673	135505	1874965
674	135777	1875743
675	136064	1876725
676	136268	1876555
677	136446	1876037
678	136615	1875394
679	136774	1874620
680	137021	1875038
681	137224	1874869
682	137421	1874604
683	137709	1875592
684	137967	1876156
685	138117	1875254
686	138370	1875755
687	138537	1875086
688	138687	1874196
689	138835	1873273
690	139002	1872613
691	139249	1873033
692	139408	1872264
693	139635	1872403
694	139765	1871246
695	139959	1870949
696	140172	1870910
697	140316	1869948
698	140530	1869913
699	140646	1868588
700	140783	1867543
701	140963	1867069
702	141165	1866879
703	141288	1865649
704	141585	1866721
705	141789	1866556
706	141962	1865997
707	142145	1865565
708	142259	1864225
709	142449	1863887
710	142611	1863177
711	142831	1863224
712	143061	1863404
